fips,state,county_name,spend,quality_bedweighted,z_spend,z_quality,beds_sum,discharges_sum
21115,KY,Johnson,11394.98,,-0.13426740871281428,,0.0,133.0
17041,IL,Douglas,11982.33,,0.17538345432101665,,,
19195,IA,Worth,9842.94,,-0.9525027461828516,,,
20133,KS,Neosho,12194.74,,0.2873659857196988,,0.0,0.0
20203,KS,Wichita,16117.54,,2.3554657652533866,,0.0,0.0
26077,MI,Kalamazoo,10963.86,,-0.3615538308991509,,0.0,4831.0
21165,KY,Menifee,9996.6,,-0.8714932090860977,,,
26085,MI,Lake,10529.46,,-0.5905694687673666,,,
21173,KY,Montgomery,12093.84,,0.23417151550583412,,0.0,173.0
46051,SD,Grant,11247.25,,-0.21215065038470957,,0.0,0.0
26117,MI,Montcalm,10583.12,,-0.5622799219717662,,0.0,291.0
26127,MI,Oceana,10358.89,,-0.6804939562240456,,0.0,0.0
27051,MN,Grant,11883.45,,0.12325392791123554,,0.0,0.0
17049,IL,Effingham,10311.09,,-0.7056941115879971,,0.0,961.0
17065,IL,Hamilton,10990.17,,-0.3476832014509174,,0.0,0.0
23031,ME,York,10301.36,,-0.7108237666442992,,0.0,392.0
40103,OK,Noble,12352.72,,0.3706530263974624,,,
46013,SD,Brown,11779.36,,0.06837769000676377,,0.0,1141.0
41001,OR,Baker,8174.87,,-1.8319090883993192,,0.0,0.0
46005,SD,Beadle,10493.0,,-0.6097911772311672,,0.0,0.0
46011,SD,Brookings,9466.67,,-1.1508722536890057,,0.0,232.0
46025,SD,Clark,7868.02,,-1.9936803786384114,,,
42015,PA,Bradford,9578.55,,-1.0918891285400745,,0.0,2541.0
46115,SD,Spink,12318.3,,0.35250680573580495,,0.0,0.0
48017,TX,Bailey,14752.76,,1.6359538816212904,,0.0,0.0
02105,AK,Hoonah-Angoon,10412.02,,-0.6524838253770417,,,
48023,TX,Baylor,17208.52,,2.9306303154409217,,0.0,0.0
46057,SD,Hamlin,11495.35,,-0.08135235444754513,,,
46077,SD,Kingsbury,10221.76,,-0.7527888789240184,,0.0,0.0
13053,GA,Chattahoochee,9623.26,,-1.0683180208764278,,0.0,0.0
48413,TX,Schleicher,15933.29,,2.2583291831235095,,0.0,0.0
27165,MN,Watonwan,11313.97,,-0.17697587285577965,,0.0,0.0
48429,TX,Stephens,12760.92,,0.5858560268067753,,0.0,0.0
35009,NM,Curry,11439.17,,-0.11097044499873386,,0.0,305.0
48437,TX,Swisher,13362.37,,0.9029404084730692,,0.0,0.0
30049,MT,Lewis and Clark,8474.13,,-1.6741392454240847,,0.0,1071.0
48279,TX,Lamb,12632.69,,0.5182531832436051,,0.0,0.0
31049,NE,Deuel,10198.79,,-0.7648986606961932,,,
13125,GA,Glascock,9309.96,,-1.2334897504899454,,,
